STOCKCODE,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
000020,2020-07-31,0 days 09:00:00.000000000,23450,23500,22950,23000,54673
000020,2020-07-31,0 days 09:05:00.000000000,23150,23700,23000,23650,35912
000020,2020-07-31,0 days 09:10:00.000000000,23650,23700,23350,23700,43753
000020,2020-07-31,0 days 09:15:00.000000000,23700,23800,23600,23700,36471
000020,2020-07-31,0 days 09:20:00.000000000,23650,23800,23600,23800,28151
000020,2020-07-31,0 days 09:25:00.000000000,23800,23900,23700,23900,27754
000020,2020-07-31,0 days 09:30:00.000000000,23900,23950,23750,23750,20946
000020,2020-07-31,0 days 09:35:00.000000000,23750,24600,23750,24550,173759
000020,2020-07-31,0 days 09:40:00.000000000,24600,24850,24100,24500,197204
000020,2020-07-31,0 days 09:45:00.000000000,24500,24500,24000,24400,87549
000020,2020-07-31,0 days 09:50:00.000000000,24400,24450,24100,24450,52501
000020,2020-07-31,0 days 09:55:00.000000000,24400,24550,24150,24300,67670
000020,2020-07-31,0 days 10:00:00.000000000,24300,24350,24150,24350,23513
000020,2020-07-31,0 days 10:05:00.000000000,24350,24350,24050,24100,36808
000020,2020-07-31,0 days 10:10:00.000000000,24050,24100,23750,23900,60499
000020,2020-07-31,0 days 10:15:00.000000000,23950,23950,23750,23850,29687
000020,2020-07-31,0 days 10:20:00.000000000,23850,23850,23700,23750,27258
000020,2020-07-31,0 days 10:25:00.000000000,23750,23800,23700,23800,9870
000020,2020-07-31,0 days 10:30:00.000000000,23800,23850,23700,23700,7891
000020,2020-07-31,0 days 10:35:00.000000000,23700,23750,23650,23750,23205
000020,2020-07-31,0 days 10:40:00.000000000,23750,23800,23700,23750,7224
000020,2020-07-31,0 days 10:45:00.000000000,23750,23800,23650,23750,16513
000020,2020-07-31,0 days 10:50:00.000000000,23750,23800,23700,23750,3617
000020,2020-07-31,0 days 10:55:00.000000000,23750,23750,23600,23650,13271
000020,2020-07-31,0 days 11:00:00.000000000,23650,23800,23600,23750,20420
000020,2020-07-31,0 days 11:05:00.000000000,23850,24000,23850,23950,15729
000020,2020-07-31,0 days 11:10:00.000000000,23950,24000,23900,23950,4819
000020,2020-07-31,0 days 11:15:00.000000000,23900,23950,23800,23800,7585
000020,2020-07-31,0 days 11:20:00.000000000,23800,23950,23800,23950,5416
000020,2020-07-31,0 days 11:25:00.000000000,23950,24150,23900,24150,23078
000020,2020-07-31,0 days 11:30:00.000000000,24200,24250,24000,24100,37356
000020,2020-07-31,0 days 11:35:00.000000000,24100,24350,24100,24150,49878
000020,2020-07-31,0 days 11:40:00.000000000,24150,24200,24100,24100,13684
000020,2020-07-31,0 days 11:45:00.000000000,24050,24150,24000,24150,5640
000020,2020-07-31,0 days 11:50:00.000000000,24150,24200,24100,24200,3859
000020,2020-07-31,0 days 11:55:00.000000000,24200,24200,24100,24150,6326
000020,2020-07-31,0 days 12:00:00.000000000,24150,24200,24100,24150,6929
000020,2020-07-31,0 days 12:05:00.000000000,24150,24350,24150,24300,25027
000020,2020-07-31,0 days 12:10:00.000000000,24300,24350,24200,24250,8779
000020,2020-07-31,0 days 12:15:00.000000000,24250,24350,24250,24300,9547
000020,2020-07-31,0 days 12:20:00.000000000,24350,24550,24300,24550,66844
000020,2020-07-31,0 days 12:25:00.000000000,24550,24600,24400,24450,68517
000020,2020-07-31,0 days 12:30:00.000000000,24400,24450,24250,24300,21187
000020,2020-07-31,0 days 12:35:00.000000000,24350,24400,24200,24250,20220
000020,2020-07-31,0 days 12:40:00.000000000,24300,24300,24150,24200,14372
000020,2020-07-31,0 days 12:45:00.000000000,24200,24350,24200,24350,11952
000020,2020-07-31,0 days 12:50:00.000000000,24350,24400,24250,24250,8590
000020,2020-07-31,0 days 12:55:00.000000000,24250,24400,24250,24250,11321
000020,2020-07-31,0 days 13:00:00.000000000,24300,24350,24250,24250,5318
000020,2020-07-31,0 days 13:05:00.000000000,24250,24350,24250,24300,8855
000020,2020-07-31,0 days 13:10:00.000000000,24300,24350,24200,24250,14606
000020,2020-07-31,0 days 13:15:00.000000000,24200,24250,24000,24050,20869
000020,2020-07-31,0 days 13:20:00.000000000,24050,24200,24000,24200,13821
000020,2020-07-31,0 days 13:25:00.000000000,24200,24300,24200,24300,7835
000020,2020-07-31,0 days 13:30:00.000000000,24300,24300,24200,24300,8758
000020,2020-07-31,0 days 13:35:00.000000000,24250,24550,24250,24450,69130
000020,2020-07-31,0 days 13:40:00.000000000,24400,24600,24300,24600,60738
000020,2020-07-31,0 days 13:45:00.000000000,24600,24600,24350,24400,48861
000020,2020-07-31,0 days 13:50:00.000000000,24400,24500,24350,24400,24084
000020,2020-07-31,0 days 13:55:00.000000000,24350,24400,24300,24350,10605
000020,2020-07-31,0 days 14:00:00.000000000,24350,24400,24250,24350,12913
000020,2020-07-31,0 days 14:05:00.000000000,24350,24400,24250,24250,13020
000020,2020-07-31,0 days 14:10:00.000000000,24250,24450,24250,24450,14279
000020,2020-07-31,0 days 14:15:00.000000000,24450,24500,24350,24400,13393
000020,2020-07-31,0 days 14:20:00.000000000,24400,24450,24350,24400,9583
000020,2020-07-31,0 days 14:25:00.000000000,24350,24400,24300,24300,10460
000020,2020-07-31,0 days 14:30:00.000000000,24350,24400,24300,24350,6827
000020,2020-07-31,0 days 14:35:00.000000000,24350,24400,23950,24150,63478
000020,2020-07-31,0 days 14:40:00.000000000,24150,24200,24100,24150,10028
000020,2020-07-31,0 days 14:45:00.000000000,24150,24200,24100,24200,5872
000020,2020-07-31,0 days 14:50:00.000000000,24200,24300,24150,24300,9136
000020,2020-07-31,0 days 14:55:00.000000000,24300,24300,24150,24150,10955
000020,2020-07-31,0 days 15:00:00.000000000,24150,24250,24100,24150,20749
000020,2020-07-31,0 days 15:05:00.000000000,24100,24350,24100,24350,28184
000020,2020-07-31,0 days 15:10:00.000000000,24350,24500,24300,24450,57405
000020,2020-07-31,0 days 15:15:00.000000000,24450,24450,24200,24400,41002
000020,2020-07-31,0 days 15:30:00.000000000,24400,24400,24400,24400,40680
